X-ray diffraction station at BSRF	Omega_2omega step mode	Wavelength(nm)=0.13807	2016/10/9 21:11:31
2Omega(degree)	Detector	InoChamber1	InoChamber2
35.44000	1191	74553	0
35.48000	1130	74556	0
35.52000	1062	74559	0
35.56000	1129	74562	0
35.60000	1119	74544	0
35.64000	1208	74552	0
35.68000	1114	74542	0
35.72000	1099	74531	0
35.76000	1090	74546	0
35.80000	1066	74531	0
35.84000	1160	74535	0
35.88000	1130	74515	0
35.92000	1245	74515	0
35.96000	1108	74525	0
36.00000	1199	74537	0
36.04000	1212	74514	0
36.08000	1145	74531	0
36.12000	1146	74507	0
36.16000	1203	74509	0
36.20000	1180	74508	0
36.24000	1189	74500	0
36.28000	1196	74491	0
36.32000	1201	74494	0
36.36000	1211	74491	0
36.40000	1274	74525	0
36.44000	1355	74563	0
36.48000	1291	74628	0
36.52000	1381	74680	0
36.56000	1435	74704	0
36.60000	1479	74740	0
36.64000	1466	74771	0
36.68000	1467	74766	0
36.72000	1386	74759	0
36.76000	1279	74757	0
36.80000	1261	74747	0
36.84000	1208	74725	0
36.88000	1279	74726	0
36.92000	1298	74706	0
36.96000	1210	74699	0
37.00000	1295	74701	0
37.04000	1360	74700	0
37.08000	1354	74706	0
37.12000	1526	74719	0
37.16000	1597	74699	0
37.20000	1671	74692	0
37.24000	1841	74689	0
37.28000	1904	74682	0
37.32000	2006	74682	0
37.36000	2004	74678	0
37.40000	2073	74681	0
37.44000	1840	74667	0
37.48000	1683	74659	0
37.52000	1590	74659	0
37.56000	1438	74650	0
37.60000	1437	74632	0
37.64000	1288	74627	0
37.68000	1247	74631	0
37.72000	1133	74626	0
37.76000	1167	74612	0
37.80000	1198	74599	0
37.84000	1197	74595	0
37.88000	1128	74587	0
37.92000	1122	74587	0
37.96000	1119	74564	0
38.00000	1180	74560	0
38.04000	1179	74536	0
38.08000	1105	74545	0
38.12000	1112	74539	0
38.16000	1059	74527	0
38.20000	1111	74528	0
38.24000	1167	74510	0
38.28000	1088	74503	0
38.32000	1050	74490	0
38.36000	1104	74497	0
38.40000	1087	74487	0
38.44000	1071	74465	0
38.48000	1116	74469	0
38.52000	1019	74453	0
38.56000	1118	74441	0
38.60000	1098	74444	0
38.64000	1124	74432	0
38.68000	1085	74412	0
38.72000	1086	74425	0
38.76000	1096	74414	0
38.80000	1072	74422	0
38.84000	1122	74400	0
38.88000	1120	74387	0
38.92000	1095	74389	0
38.96000	1034	74388	0
39.00000	1070	74383	0
39.04000	1077	74360	0
39.08000	1065	74353	0
39.12000	1086	74303	0
39.16000	1093	74314	0
39.20000	1101	74300	0
39.24000	1117	74288	0
39.28000	1083	74253	0
39.32000	1126	74262	0
39.36000	1099	74249	0
39.40000	1068	74257	0
39.44000	1079	74316	0
39.48000	1091	74361	0
39.52000	1103	74395	0
39.56000	1133	74402	0
39.60000	1095	74417	0
39.64000	1119	74432	0
39.68000	1064	74447	0
39.72000	1035	74437	0
39.76000	1042	74471	0
39.80000	1096	74521	0
39.84000	1071	74564	0
39.88000	1047	74554	0
39.92000	1086	74546	0
39.96000	1046	74535	0
40.00000	1111	74544	0
40.04000	1077	74531	0
40.08000	1051	74516	0
40.12000	1083	74511	0
40.16000	1084	74493	0
40.20000	1008	74485	0
40.24000	1076	74475	0
40.28000	1097	74473	0
40.32000	1043	74468	0
40.36000	1084	74475	0
40.40000	1088	74471	0
40.44000	1096	74446	0
40.48000	1082	74444	0
40.52000	1084	74431	0
40.56000	1089	74443	0
40.60000	1068	74429	0
40.64000	1116	74415	0
40.68000	1122	74414	0
40.72000	1043	74411	0
40.76000	1058	74409	0
40.80000	1114	74403	0
40.84000	1151	74381	0
40.88000	1112	74379	0
40.92000	1139	74369	0
40.96000	1143	74358	0
41.00000	1154	74362	0
41.04000	1156	74364	0
41.08000	1137	74346	0
41.12000	1138	74358	0
41.16000	1143	74341	0
41.20000	1091	74344	0
41.24000	1133	74344	0
41.28000	1133	74341	0
41.32000	1080	74344	0
41.36000	1082	74318	0
41.40000	1084	74324	0
41.44000	1113	74321	0
41.48000	1079	74310	0
41.52000	1095	74298	0
41.56000	1114	74307	0
41.60000	1135	74317	0
41.64000	1094	74311	0
41.68000	1153	74396	0
41.72000	1188	74399	0
41.76000	1174	74389	0
41.80000	1127	74371	0
41.84000	1214	74386	0
41.88000	1175	74384	0
41.92000	1150	74361	0
41.96000	1171	74362	0
42.00000	1240	74342	0
42.04000	1139	74333	0
42.08000	1184	74326	0
42.12000	1147	74331	0
42.16000	1168	74327	0
42.20000	1252	74319	0
42.24000	1123	74321	0
42.28000	1132	74318	0
42.32000	1194	74298	0
42.36000	1179	74286	0
42.40000	1125	74295	0
42.44000	1059	74292	0
42.48000	1144	74279	0
42.52000	1109	74281	0
42.56000	1055	74282	0
42.60000	1066	74291	0
42.64000	1035	74358	0
42.68000	1065	74412	0
42.72000	1047	74480	0
42.76000	1058	74545	0
42.80000	1048	74593	0
42.84000	1030	74629	0
42.88000	1069	74626	0
42.92000	1053	74622	0
42.96000	1071	74617	0
43.00000	1022	74601	0
43.04000	1033	74611	0
43.08000	1087	74594	0
43.12000	1051	74602	0
43.16000	1121	74588	0
43.20000	1087	74570	0
43.24000	1129	74576	0
43.28000	1090	74583	0
43.32000	1086	74577	0
43.36000	1042	74569	0
43.40000	1138	74563	0
43.44000	1096	74573	0
43.48000	1102	74575	0
43.52000	1113	74568	0
43.56000	1169	74580	0
43.60000	1151	74576	0
43.64000	1161	74556	0
43.68000	1154	74556	0
43.72000	1165	74556	0
43.76000	1204	74550	0
43.80000	1251	74539	0
43.84000	1274	74545	0
43.88000	1316	74553	0
43.92000	1316	74546	0
43.96000	1411	74540	0
44.00000	1498	74526	0
44.04000	1576	74521	0
44.08000	1580	74511	0
